@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}
@attribute outputs-3 {0,1,2,3,4,5}

@data
3593,'2024/12/09 03:09:35:907',3,4629,-17815,20700,27236,-8519,-22373,?,?,?
3594,'2024/12/09 03:09:35:924',3,4629,-17815,20700,27236,-8519,-22373,?,?,?
3595,'2024/12/09 03:09:35:941',3,-948,-20594,21308,32766,-19498,-18900,?,?,?
3596,'2024/12/09 03:09:35:960',3,-948,-20594,21308,32766,-19498,-18900,?,?,?
3597,'2024/12/09 03:09:35:978',3,-948,-20594,21308,32766,-19498,-18900,?,?,?
3598,'2024/12/09 03:09:35:998',3,3398,-17547,15459,32766,-21529,-28424,?,?,?
3599,'2024/12/09 03:09:36:017',3,3398,-17547,15459,32766,-21529,-28424,?,?,?
3600,'2024/12/09 03:09:36:036',3,3398,-17547,15459,32766,-21529,-28424,?,?,?
3601,'2024/12/09 03:09:36:055',3,7869,-3016,6419,32766,-15431,-22693,?,?,?
3602,'2024/12/09 03:09:36:074',3,7869,-3016,6419,32766,-15431,-22693,?,?,?
3603,'2024/12/09 03:09:36:092',3,7869,-3016,6419,32766,-15431,-22693,?,?,?
3604,'2024/12/09 03:09:36:109',3,7441,8013,-1233,29376,-15737,-20965,?,?,?
3605,'2024/12/09 03:09:36:126',3,7441,8013,-1233,29376,-15737,-20965,?,?,?
3606,'2024/12/09 03:09:36:146',3,7441,8013,-1233,29376,-15737,-20965,?,?,?
3607,'2024/12/09 03:09:36:164',3,6483,13353,-7319,17044,-8761,-16150,?,?,?
3608,'2024/12/09 03:09:36:183',3,6483,13353,-7319,17044,-8761,-16150,?,?,?
3609,'2024/12/09 03:09:36:199',3,6483,13353,-7319,17044,-8761,-16150,?,?,?
3610,'2024/12/09 03:09:36:218',3,3821,13918,-708,8804,-4087,-9392,?,?,?
3611,'2024/12/09 03:09:36:237',3,3821,13918,-708,8804,-4087,-9392,?,?,?
3612,'2024/12/09 03:09:36:254',3,3821,13918,-708,8804,-4087,-9392,?,?,?
3613,'2024/12/09 03:09:36:273',3,4523,14693,-2053,4493,-1313,-7217,?,?,?
3614,'2024/12/09 03:09:36:291',3,4523,14693,-2053,4493,-1313,-7217,?,?,?
3615,'2024/12/09 03:09:36:311',3,4523,14693,-2053,4493,-1313,-7217,?,?,?
3616,'2024/12/09 03:09:36:327',3,3782,15220,-1273,3608,-835,-6138,?,?,?
3617,'2024/12/09 03:09:36:346',3,3782,15220,-1273,3608,-835,-6138,?,?,?
3618,'2024/12/09 03:09:36:363',3,3782,15220,-1273,3608,-835,-6138,?,?,?
3619,'2024/12/09 03:09:36:382',3,3982,15345,-2937,1478,1645,-5360,?,?,?
3620,'2024/12/09 03:09:36:401',3,3982,15345,-2937,1478,1645,-5360,?,?,?
3621,'2024/12/09 03:09:36:420',3,3982,15345,-2937,1478,1645,-5360,?,?,?
3622,'2024/12/09 03:09:36:439',3,5709,14367,-4116,-177,2601,-7145,?,?,?
3623,'2024/12/09 03:09:36:458',3,5709,14367,-4116,-177,2601,-7145,?,?,?
3624,'2024/12/09 03:09:36:476',3,5709,14367,-4116,-177,2601,-7145,?,?,?
3625,'2024/12/09 03:09:36:493',3,3564,13937,-1390,-1580,4960,-11358,?,?,?
3626,'2024/12/09 03:09:36:512',3,3564,13937,-1390,-1580,4960,-11358,?,?,?
3627,'2024/12/09 03:09:36:531',3,3564,13937,-1390,-1580,4960,-11358,?,?,?
3628,'2024/12/09 03:09:36:551',3,1761,14395,-393,-533,3760,-12915,?,?,?
3629,'2024/12/09 03:09:36:569',3,1761,14395,-393,-533,3760,-12915,?,?,?
3630,'2024/12/09 03:09:36:588',3,1761,14395,-393,-533,3760,-12915,?,?,?
3631,'2024/12/09 03:09:36:608',3,-3785,16046,-147,189,2276,-9784,?,?,?
3632,'2024/12/09 03:09:36:626',3,-3785,16046,-147,189,2276,-9784,?,?,?
3633,'2024/12/09 03:09:36:645',3,-3138,15847,-1437,890,1912,-5851,?,?,?
3634,'2024/12/09 03:09:36:662',3,-3138,15847,-1437,890,1912,-5851,?,?,?
3635,'2024/12/09 03:09:36:682',3,-3138,15847,-1437,890,1912,-5851,?,?,?
3636,'2024/12/09 03:09:36:702',3,-3738,15643,-950,1360,1463,-2732,?,?,?
3637,'2024/12/09 03:09:36:721',3,-3738,15643,-950,1360,1463,-2732,?,?,?
3638,'2024/12/09 03:09:36:740',3,-3738,15643,-950,1360,1463,-2732,?,?,?
3639,'2024/12/09 03:09:36:757',3,-2308,15649,-2676,1781,1218,-1800,?,?,?
3640,'2024/12/09 03:09:36:775',3,-2308,15649,-2676,1781,1218,-1800,?,?,?
3641,'2024/12/09 03:09:36:792',3,-2308,15649,-2676,1781,1218,-1800,?,?,?
3642,'2024/12/09 03:09:36:811',3,-2806,15427,-1379,1118,160,-601,?,?,?
3643,'2024/12/09 03:09:36:830',3,-2806,15427,-1379,1118,160,-601,?,?,?
3644,'2024/12/09 03:09:36:850',3,-2806,15427,-1379,1118,160,-601,?,?,?
3645,'2024/12/09 03:09:36:867',3,-1470,15338,-3470,444,1015,-1545,?,?,?
3646,'2024/12/09 03:09:36:886',3,-1470,15338,-3470,444,1015,-1545,?,?,?
3647,'2024/12/09 03:09:36:906',3,-1470,15338,-3470,444,1015,-1545,?,?,?
3648,'2024/12/09 03:09:36:924',3,-3345,15007,-2700,1274,317,-2088,?,?,?
3649,'2024/12/09 03:09:36:943',3,-3345,15007,-2700,1274,317,-2088,?,?,?
3650,'2024/12/09 03:09:36:961',3,-3345,15007,-2700,1274,317,-2088,?,?,?
3651,'2024/12/09 03:09:36:977',3,-3224,14990,-2771,-253,1282,-942,?,?,?
3652,'2024/12/09 03:09:36:994',3,-3224,14990,-2771,-253,1282,-942,?,?,?
3653,'2024/12/09 03:09:37:014',3,-3224,14990,-2771,-253,1282,-942,?,?,?
3654,'2024/12/09 03:09:37:030',3,-2932,15560,-4034,93,1315,-707,?,?,?
3655,'2024/12/09 03:09:37:048',3,-2932,15560,-4034,93,1315,-707,?,?,?
3656,'2024/12/09 03:09:37:067',3,-2932,15560,-4034,93,1315,-707,?,?,?
3657,'2024/12/09 03:09:37:087',3,-2400,15079,-2993,-252,1322,-473,?,?,?
3658,'2024/12/09 03:09:37:105',3,-2400,15079,-2993,-252,1322,-473,?,?,?
3659,'2024/12/09 03:09:37:123',3,-2400,15079,-2993,-252,1322,-473,?,?,?
3660,'2024/12/09 03:09:37:140',3,-2575,15429,-4352,-88,979,-1190,?,?,?
3661,'2024/12/09 03:09:37:158',3,-2575,15429,-4352,-88,979,-1190,?,?,?
3662,'2024/12/09 03:09:37:175',3,-2575,15429,-4352,-88,979,-1190,?,?,?
3663,'2024/12/09 03:09:37:193',3,-3687,14833,-2854,-57,780,-1100,?,?,?
3664,'2024/12/09 03:09:37:212',3,-3687,14833,-2854,-57,780,-1100,?,?,?
3665,'2024/12/09 03:09:37:231',3,-3687,14833,-2854,-57,780,-1100,?,?,?
3666,'2024/12/09 03:09:37:247',3,-3586,14915,-4463,-1170,1757,-709,?,?,?
3667,'2024/12/09 03:09:37:264',3,-3586,14915,-4463,-1170,1757,-709,?,?,?
3668,'2024/12/09 03:09:37:284',3,-3586,14915,-4463,-1170,1757,-709,?,?,?
3669,'2024/12/09 03:09:37:304',3,-4573,14538,-5310,-3010,2763,395,?,?,?
3670,'2024/12/09 03:09:37:322',3,-4573,14538,-5310,-3010,2763,395,?,?,?
3671,'2024/12/09 03:09:37:341',3,-4573,14538,-5310,-3010,2763,395,?,?,?
3672,'2024/12/09 03:09:37:358',3,-3711,14576,-4681,-5694,4331,1133,?,?,?
3673,'2024/12/09 03:09:37:377',3,-3711,14576,-4681,-5694,4331,1133,?,?,?
3674,'2024/12/09 03:09:37:396',3,-3711,14576,-4681,-5694,4331,1133,?,?,?
3675,'2024/12/09 03:09:37:414',3,-4978,15478,-9817,-11345,6410,3237,?,?,?
3676,'2024/12/09 03:09:37:435',3,-4978,15478,-9817,-11345,6410,3237,?,?,?
3677,'2024/12/09 03:09:37:451',3,-4978,15478,-9817,-11345,6410,3237,?,?,?
3678,'2024/12/09 03:09:37:467',3,-9115,14610,-15482,-30751,10315,11054,?,?,?
3679,'2024/12/09 03:09:37:487',3,-9115,14610,-15482,-30751,10315,11054,?,?,?
3680,'2024/12/09 03:09:37:507',3,-9115,14610,-15482,-30751,10315,11054,?,?,?
3681,'2024/12/09 03:09:37:524',3,-12698,4605,-5367,-32766,20987,22736,?,?,?
3682,'2024/12/09 03:09:37:542',3,-12698,4605,-5367,-32766,20987,22736,?,?,?
3683,'2024/12/09 03:09:37:561',3,-12698,4605,-5367,-32766,20987,22736,?,?,?
3684,'2024/12/09 03:09:37:580',3,-11821,-12652,1010,-32766,9414,32766,?,?,?
3685,'2024/12/09 03:09:37:598',3,-11821,-12652,1010,-32766,9414,32766,?,?,?
3686,'2024/12/09 03:09:37:618',3,-11821,-12652,1010,-32766,9414,32766,?,?,?
3687,'2024/12/09 03:09:37:637',3,15661,-19777,23451,-32766,-21331,28422,?,?,?
3688,'2024/12/09 03:09:37:657',3,15661,-19777,23451,-32766,-21331,28422,?,?,?
3689,'2024/12/09 03:09:37:675',3,15661,-19777,23451,-32766,-21331,28422,?,?,?
3690,'2024/12/09 03:09:37:693',3,4816,-17049,25848,-20537,26414,17052,?,?,?
3691,'2024/12/09 03:09:37:712',3,4816,-17049,25848,-20537,26414,17052,?,?,?
3692,'2024/12/09 03:09:37:732',3,4816,-17049,25848,-20537,26414,17052,?,?,?
3693,'2024/12/09 03:09:37:751',3,5636,-11419,17875,-16085,4158,1256,?,?,?
3694,'2024/12/09 03:09:37:769',3,5636,-11419,17875,-16085,4158,1256,?,?,?
3695,'2024/12/09 03:09:37:788',3,5636,-11419,17875,-16085,4158,1256,?,?,?
3696,'2024/12/09 03:09:37:803',3,2023,-10375,18266,-8645,11998,4427,?,?,?
3697,'2024/12/09 03:09:37:823',3,2023,-10375,18266,-8645,11998,4427,?,?,?
3698,'2024/12/09 03:09:37:842',3,2023,-10375,18266,-8645,11998,4427,?,?,?
3699,'2024/12/09 03:09:37:857',3,-732,-10094,13805,-9425,3956,847,?,?,?
3700,'2024/12/09 03:09:37:873',3,-732,-10094,13805,-9425,3956,847,?,?,?
3701,'2024/12/09 03:09:37:892',3,-732,-10094,13805,-9425,3956,847,?,?,?
3702,'2024/12/09 03:09:37:912',3,48,-10755,15683,-7082,4981,2038,?,?,?
3703,'2024/12/09 03:09:37:931',3,48,-10755,15683,-7082,4981,2038,?,?,?
3704,'2024/12/09 03:09:37:951',3,48,-10755,15683,-7082,4981,2038,?,?,?
3705,'2024/12/09 03:09:37:969',3,-1537,-11208,10891,-5337,2146,1026,?,?,?
3706,'2024/12/09 03:09:37:986',3,-1537,-11208,10891,-5337,2146,1026,?,?,?
3707,'2024/12/09 03:09:38:003',3,-1537,-11208,10891,-5337,2146,1026,?,?,?
3708,'2024/12/09 03:09:38:019',3,-1194,-12013,15649,-4335,6343,1211,?,?,?
3709,'2024/12/09 03:09:38:036',3,-1194,-12013,15649,-4335,6343,1211,?,?,?
3710,'2024/12/09 03:09:38:055',3,-1194,-12013,15649,-4335,6343,1211,?,?,?
3711,'2024/12/09 03:09:38:074',3,-3387,-11429,11705,-1536,5010,1677,?,?,?
3712,'2024/12/09 03:09:38:093',3,-3387,-11429,11705,-1536,5010,1677,?,?,?
3713,'2024/12/09 03:09:38:110',3,-3387,-11429,11705,-1536,5010,1677,?,?,?
3714,'2024/12/09 03:09:38:127',3,-573,-11778,12410,-1339,7455,2424,?,?,?
3715,'2024/12/09 03:09:38:144',3,-573,-11778,12410,-1339,7455,2424,?,?,?
3716,'2024/12/09 03:09:38:162',3,-573,-11778,12410,-1339,7455,2424,?,?,?
3717,'2024/12/09 03:09:38:181',3,-3669,-11089,10169,-3071,3734,-911,?,?,?
3718,'2024/12/09 03:09:38:200',3,-3669,-11089,10169,-3071,3734,-911,?,?,?
3719,'2024/12/09 03:09:38:219',3,-3669,-11089,10169,-3071,3734,-911,?,?,?
3720,'2024/12/09 03:09:38:236',3,-3228,-11071,12818,-4367,3600,-1480,?,?,?
3721,'2024/12/09 03:09:38:251',3,-3228,-11071,12818,-4367,3600,-1480,?,?,?
3722,'2024/12/09 03:09:38:270',3,-3228,-11071,12818,-4367,3600,-1480,?,?,?
3723,'2024/12/09 03:09:38:286',3,-5108,-10876,10279,-3093,2842,49,?,?,?
3724,'2024/12/09 03:09:38:303',3,-5108,-10876,10279,-3093,2842,49,?,?,?
3725,'2024/12/09 03:09:38:322',3,-5108,-10876,10279,-3093,2842,49,?,?,?
3726,'2024/12/09 03:09:38:339',3,-3036,-11939,10962,-2952,2498,-238,?,?,?
3727,'2024/12/09 03:09:38:357',3,-3036,-11939,10962,-2952,2498,-238,?,?,?
3728,'2024/12/09 03:09:38:376',3,-3036,-11939,10962,-2952,2498,-238,?,?,?
3729,'2024/12/09 03:09:38:394',3,-4935,-11981,8696,-4816,5643,372,?,?,?
3730,'2024/12/09 03:09:38:414',3,-4935,-11981,8696,-4816,5643,372,?,?,?
3731,'2024/12/09 03:09:38:433',3,-4935,-11981,8696,-4816,5643,372,?,?,?
3732,'2024/12/09 03:09:38:449',3,-4550,-12247,10879,-3853,4321,18,?,?,?
3733,'2024/12/09 03:09:38:465',3,-4550,-12247,10879,-3853,4321,18,?,?,?
3734,'2024/12/09 03:09:38:485',3,-4550,-12247,10879,-3853,4321,18,?,?,?
3735,'2024/12/09 03:09:38:505',3,-5307,-12994,9537,-3479,3731,707,?,?,?
3736,'2024/12/09 03:09:38:524',3,-5307,-12994,9537,-3479,3731,707,?,?,?
3737,'2024/12/09 03:09:38:540',3,-5307,-12994,9537,-3479,3731,707,?,?,?
3738,'2024/12/09 03:09:38:557',3,-4791,-12863,9617,-2867,2446,-219,?,?,?
3739,'2024/12/09 03:09:38:573',3,-4791,-12863,9617,-2867,2446,-219,?,?,?
3740,'2024/12/09 03:09:38:591',3,-4791,-12863,9617,-2867,2446,-219,?,?,?
3741,'2024/12/09 03:09:38:609',3,-4922,-12998,9921,-3097,2335,227,?,?,?
3742,'2024/12/09 03:09:38:627',3,-4922,-12998,9921,-3097,2335,227,?,?,?
3743,'2024/12/09 03:09:38:643',3,-4922,-12998,9921,-3097,2335,227,?,?,?
3744,'2024/12/09 03:09:38:662',3,-5293,-12926,8227,-2274,1808,558,?,?,?
3745,'2024/12/09 03:09:38:679',3,-5293,-12926,8227,-2274,1808,558,?,?,?
3746,'2024/12/09 03:09:38:698',3,-5293,-12926,8227,-2274,1808,558,?,?,?
3747,'2024/12/09 03:09:38:718',3,-5418,-12988,8856,-1452,686,-547,?,?,?
3748,'2024/12/09 03:09:38:737',3,-5418,-12988,8856,-1452,686,-547,?,?,?
3749,'2024/12/09 03:09:38:756',3,-5418,-12988,8856,-1452,686,-547,?,?,?
3750,'2024/12/09 03:09:38:774',3,-4669,-13755,9881,-3155,2109,187,?,?,?
3751,'2024/12/09 03:09:38:792',3,-4669,-13755,9881,-3155,2109,187,?,?,?
3752,'2024/12/09 03:09:38:811',3,-4669,-13755,9881,-3155,2109,187,?,?,?
3753,'2024/12/09 03:09:38:829',3,-3898,-14323,7198,-2101,1791,-1531,?,?,?
3754,'2024/12/09 03:09:38:845',3,-3898,-14323,7198,-2101,1791,-1531,?,?,?
3755,'2024/12/09 03:09:38:865',3,-3898,-14323,7198,-2101,1791,-1531,?,?,?
3756,'2024/12/09 03:09:38:884',3,-6194,-13640,11509,-1601,1374,-1758,?,?,?
3757,'2024/12/09 03:09:38:902',3,-6194,-13640,11509,-1601,1374,-1758,?,?,?
3758,'2024/12/09 03:09:38:921',3,-6194,-13640,11509,-1601,1374,-1758,?,?,?
3759,'2024/12/09 03:09:38:941',3,-3646,-15884,16118,5724,-1240,-2632,?,?,?
3760,'2024/12/09 03:09:38:957',3,-3646,-15884,16118,5724,-1240,-2632,?,?,?
3761,'2024/12/09 03:09:38:977',3,-3646,-15884,16118,5724,-1240,-2632,?,?,?
3762,'2024/12/09 03:09:38:996',3,-3332,-18049,23547,24285,-13459,-8739,?,?,?
3763,'2024/12/09 03:09:39:014',3,-3332,-18049,23547,24285,-13459,-8739,?,?,?
3764,'2024/12/09 03:09:39:033',3,-3332,-18049,23547,24285,-13459,-8739,?,?,?
3765,'2024/12/09 03:09:39:050',3,-7082,-22027,19962,32766,-28934,-10311,?,?,?
3766,'2024/12/09 03:09:39:067',3,-7082,-22027,19962,32766,-28934,-10311,?,?,?
3767,'2024/12/09 03:09:39:083',3,-7082,-22027,19962,32766,-28934,-10311,?,?,?
3768,'2024/12/09 03:09:39:102',3,1398,-17481,12792,32766,-21350,-17791,?,?,?
3769,'2024/12/09 03:09:39:120',3,1398,-17481,12792,32766,-21350,-17791,?,?,?
3770,'2024/12/09 03:09:39:139',3,1398,-17481,12792,32766,-21350,-17791,?,?,?
3771,'2024/12/09 03:09:39:158',3,2271,-2786,9306,32766,-15227,-15620,?,?,?
3772,'2024/12/09 03:09:39:177',3,2271,-2786,9306,32766,-15227,-15620,?,?,?
3773,'2024/12/09 03:09:39:195',3,2271,-2786,9306,32766,-15227,-15620,?,?,?
3774,'2024/12/09 03:09:39:214',3,5201,1624,9018,32766,-15735,-17698,?,?,?
3775,'2024/12/09 03:09:39:231',3,5201,1624,9018,32766,-15735,-17698,?,?,?
3776,'2024/12/09 03:09:39:247',3,5201,1624,9018,32766,-15735,-17698,?,?,?
3777,'2024/12/09 03:09:39:266',3,4597,10884,791,25634,-8514,-12949,?,?,?
3778,'2024/12/09 03:09:39:285',3,4597,10884,791,25634,-8514,-12949,?,?,?
3779,'2024/12/09 03:09:39:305',3,4597,10884,791,25634,-8514,-12949,?,?,?
3780,'2024/12/09 03:09:39:324',3,5252,12764,1435,17204,-7040,-9781,?,?,?
3781,'2024/12/09 03:09:39:342',3,5252,12764,1435,17204,-7040,-9781,?,?,?
3782,'2024/12/09 03:09:39:361',3,5252,12764,1435,17204,-7040,-9781,?,?,?
3783,'2024/12/09 03:09:39:379',3,4253,15025,-2572,8365,-1450,-8568,?,?,?
3784,'2024/12/09 03:09:39:397',3,4253,15025,-2572,8365,-1450,-8568,?,?,?
3785,'2024/12/09 03:09:39:413',3,4253,15025,-2572,8365,-1450,-8568,?,?,?
3786,'2024/12/09 03:09:39:433',3,3806,15051,-704,7143,-951,-5752,?,?,?
3787,'2024/12/09 03:09:39:452',3,3806,15051,-704,7143,-951,-5752,?,?,?
3788,'2024/12/09 03:09:39:468',3,3806,15051,-704,7143,-951,-5752,?,?,?
3789,'2024/12/09 03:09:39:486',3,3755,14881,-992,4448,-181,-5924,?,?,?
3790,'2024/12/09 03:09:39:502',3,3755,14881,-992,4448,-181,-5924,?,?,?
3791,'2024/12/09 03:09:39:522',3,3755,14881,-992,4448,-181,-5924,?,?,?
3792,'2024/12/09 03:09:39:540',3,3206,15095,-1482,2818,56,-6049,?,?,?
3793,'2024/12/09 03:09:39:558',3,3206,15095,-1482,2818,56,-6049,?,?,?
3794,'2024/12/09 03:09:39:576',3,3206,15095,-1482,2818,56,-6049,?,?,?
3795,'2024/12/09 03:09:39:595',3,1605,15378,-1065,3609,965,-6961,?,?,?
3796,'2024/12/09 03:09:39:611',3,1605,15378,-1065,3609,965,-6961,?,?,?
3797,'2024/12/09 03:09:39:628',3,1605,15378,-1065,3609,965,-6961,?,?,?
3798,'2024/12/09 03:09:39:644',3,929,15660,-3182,1778,435,-5991,?,?,?
3799,'2024/12/09 03:09:39:663',3,929,15660,-3182,1778,435,-5991,?,?,?
3800,'2024/12/09 03:09:39:683',3,929,15660,-3182,1778,435,-5991,?,?,?
3801,'2024/12/09 03:09:39:703',3,889,15579,-1842,2464,570,-5958,?,?,?
3802,'2024/12/09 03:09:39:723',3,889,15579,-1842,2464,570,-5958,?,?,?
3803,'2024/12/09 03:09:39:741',3,889,15579,-1842,2464,570,-5958,?,?,?
3804,'2024/12/09 03:09:39:758',3,-1341,15742,-3115,1306,1236,-5087,?,?,?
3805,'2024/12/09 03:09:39:777',3,-1341,15742,-3115,1306,1236,-5087,?,?,?
3806,'2024/12/09 03:09:39:793',3,-1341,15742,-3115,1306,1236,-5087,?,?,?
3807,'2024/12/09 03:09:39:811',3,-1797,15763,-2106,2269,98,-3499,?,?,?
3808,'2024/12/09 03:09:39:831',3,-1797,15763,-2106,2269,98,-3499,?,?,?
3809,'2024/12/09 03:09:39:849',3,-1797,15763,-2106,2269,98,-3499,?,?,?
3810,'2024/12/09 03:09:39:866',3,-1607,15056,-3429,605,816,-1736,?,?,?
3811,'2024/12/09 03:09:39:883',3,-1607,15056,-3429,605,816,-1736,?,?,?
3812,'2024/12/09 03:09:39:902',3,-1607,15056,-3429,605,816,-1736,?,?,?
3813,'2024/12/09 03:09:39:919',3,-1290,15364,-3834,1162,649,-1990,?,?,?
3814,'2024/12/09 03:09:39:936',3,-1290,15364,-3834,1162,649,-1990,?,?,?
3815,'2024/12/09 03:09:39:955',3,-1290,15364,-3834,1162,649,-1990,?,?,?
3816,'2024/12/09 03:09:39:971',3,-1731,14996,-2436,-284,120,-1123,?,?,?
3817,'2024/12/09 03:09:39:987',3,-1731,14996,-2436,-284,120,-1123,?,?,?
3818,'2024/12/09 03:09:40:007',3,-1731,14996,-2436,-284,120,-1123,?,?,?
3819,'2024/12/09 03:09:40:024',3,-1894,15282,-4388,203,1320,-1410,?,?,?
3820,'2024/12/09 03:09:40:041',3,-1894,15282,-4388,203,1320,-1410,?,?,?
3821,'2024/12/09 03:09:40:057',3,-1894,15282,-4388,203,1320,-1410,?,?,?
3822,'2024/12/09 03:09:40:076',3,-1706,15069,-3331,-114,809,-226,?,?,?
3823,'2024/12/09 03:09:40:096',3,-1706,15069,-3331,-114,809,-226,?,?,?
3824,'2024/12/09 03:09:40:115',3,-1706,15069,-3331,-114,809,-226,?,?,?
3825,'2024/12/09 03:09:40:135',3,-2301,14966,-4304,-788,1743,-142,?,?,?
3826,'2024/12/09 03:09:40:155',3,-2301,14966,-4304,-788,1743,-142,?,?,?
3827,'2024/12/09 03:09:40:173',3,-2301,14966,-4304,-788,1743,-142,?,?,?
3828,'2024/12/09 03:09:40:192',3,-1448,15037,-4363,-1333,1658,136,?,?,?
3829,'2024/12/09 03:09:40:210',3,-1448,15037,-4363,-1333,1658,136,?,?,?
3830,'2024/12/09 03:09:40:227',3,-1448,15037,-4363,-1333,1658,136,?,?,?
3831,'2024/12/09 03:09:40:247',3,-1458,15027,-3528,-1985,2012,-252,?,?,?
3832,'2024/12/09 03:09:40:266',3,-1458,15027,-3528,-1985,2012,-252,?,?,?
3833,'2024/12/09 03:09:40:286',3,-1458,15027,-3528,-1985,2012,-252,?,?,?
3834,'2024/12/09 03:09:40:305',3,-1493,15292,-5138,-3484,3165,100,?,?,?
3835,'2024/12/09 03:09:40:322',3,-1493,15292,-5138,-3484,3165,100,?,?,?
3836,'2024/12/09 03:09:40:340',3,-1493,15292,-5138,-3484,3165,100,?,?,?
3837,'2024/12/09 03:09:40:358',3,-2350,15713,-7904,-6405,4873,629,?,?,?
3838,'2024/12/09 03:09:40:378',3,-2350,15713,-7904,-6405,4873,629,?,?,?
3839,'2024/12/09 03:09:40:398',3,-2350,15713,-7904,-6405,4873,629,?,?,?
3840,'2024/12/09 03:09:40:414',3,-4939,14727,-10876,-20056,10978,3418,?,?,?
3841,'2024/12/09 03:09:40:431',3,-4939,14727,-10876,-20056,10978,3418,?,?,?
3842,'2024/12/09 03:09:40:448',3,-4939,14727,-10876,-20056,10978,3418,?,?,?
3843,'2024/12/09 03:09:40:468',3,-5124,12943,-8732,-31554,11900,8418,?,?,?
3844,'2024/12/09 03:09:40:484',3,-5124,12943,-8732,-31554,11900,8418,?,?,?
3845,'2024/12/09 03:09:40:502',3,-5124,12943,-8732,-31554,11900,8418,?,?,?
3846,'2024/12/09 03:09:40:519',3,-5934,2277,-8059,-32766,14443,15566,?,?,?
3847,'2024/12/09 03:09:40:538',3,-5934,2277,-8059,-32766,14443,15566,?,?,?
3848,'2024/12/09 03:09:40:557',3,-5934,2277,-8059,-32766,14443,15566,?,?,?
3849,'2024/12/09 03:09:40:575',3,-11311,-8826,5278,-32766,26197,17932,?,?,?
3850,'2024/12/09 03:09:40:592',3,-11311,-8826,5278,-32766,26197,17932,?,?,?
3851,'2024/12/09 03:09:40:608',3,-11311,-8826,5278,-32766,26197,17932,?,?,?
3852,'2024/12/09 03:09:40:624',3,-11311,-8826,5278,-32766,26197,17932,?,?,?
3853,'2024/12/09 03:09:40:642',3,-3601,-14097,15563,-32766,13226,17990,?,?,?
3854,'2024/12/09 03:09:40:661',3,-3601,-14097,15563,-32766,13226,17990,?,?,?
3855,'2024/12/09 03:09:40:678',3,249,-19784,29550,-32766,12876,2118,?,?,?
3856,'2024/12/09 03:09:40:698',3,249,-19784,29550,-32766,12876,2118,?,?,?
3857,'2024/12/09 03:09:40:717',3,249,-19784,29550,-32766,12876,2118,?,?,?
3858,'2024/12/09 03:09:40:736',3,-6322,-15381,21509,-16612,9288,7398,?,?,?
3859,'2024/12/09 03:09:40:753',3,-6322,-15381,21509,-16612,9288,7398,?,?,?
3860,'2024/12/09 03:09:40:769',3,-6322,-15381,21509,-16612,9288,7398,?,?,?
3861,'2024/12/09 03:09:40:786',3,-2435,-12980,15799,-15244,2456,-959,?,?,?
3862,'2024/12/09 03:09:40:803',3,-2435,-12980,15799,-15244,2456,-959,?,?,?
3863,'2024/12/09 03:09:40:822',3,-2435,-12980,15799,-15244,2456,-959,?,?,?
3864,'2024/12/09 03:09:40:840',3,-4258,-12724,16953,-10095,4599,-357,?,?,?
3865,'2024/12/09 03:09:40:857',3,-4258,-12724,16953,-10095,4599,-357,?,?,?
3866,'2024/12/09 03:09:40:876',3,-4258,-12724,16953,-10095,4599,-357,?,?,?
3867,'2024/12/09 03:09:40:892',3,-5665,-12633,14271,-7807,923,-2782,?,?,?
3868,'2024/12/09 03:09:40:912',3,-5665,-12633,14271,-7807,923,-2782,?,?,?
3869,'2024/12/09 03:09:40:932',3,-5665,-12633,14271,-7807,923,-2782,?,?,?
3870,'2024/12/09 03:09:40:951',3,-5470,-12709,12268,-3653,1455,926,?,?,?
3871,'2024/12/09 03:09:40:969',3,-5470,-12709,12268,-3653,1455,926,?,?,?
3872,'2024/12/09 03:09:40:990',3,-5470,-12709,12268,-3653,1455,926,?,?,?
3873,'2024/12/09 03:09:41:007',3,-3750,-12710,11978,-3447,439,-1833,?,?,?
3874,'2024/12/09 03:09:41:026',3,-3750,-12710,11978,-3447,439,-1833,?,?,?
3875,'2024/12/09 03:09:41:043',3,-3750,-12710,11978,-3447,439,-1833,?,?,?
3876,'2024/12/09 03:09:41:061',3,-4945,-12509,11067,-3429,1097,-1969,?,?,?
3877,'2024/12/09 03:09:41:077',3,-4945,-12509,11067,-3429,1097,-1969,?,?,?
3878,'2024/12/09 03:09:41:095',3,-4945,-12509,11067,-3429,1097,-1969,?,?,?
3879,'2024/12/09 03:09:41:112',3,-4945,-12509,11067,-3429,1097,-1969,?,?,?
3880,'2024/12/09 03:09:41:131',3,-4047,-12249,11297,-2657,-200,-2678,?,?,?
3881,'2024/12/09 03:09:41:146',3,-4047,-12249,11297,-2657,-200,-2678,?,?,?
3882,'2024/12/09 03:09:41:164',3,-4047,-12249,11297,-2657,-200,-2678,?,?,?
