@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}
@attribute outputs-3 {0,1,2,3,4,5}

@data
65,'2024/12/09 03:08:14:664',1,-12682,1049,10280,-1241,2016,-922,?,?,?
66,'2024/12/09 03:08:14:683',1,-12656,1097,9489,-2116,1231,-1253,?,?,?
67,'2024/12/09 03:08:14:703',1,-12656,1097,9489,-2116,1231,-1253,?,?,?
68,'2024/12/09 03:08:14:723',1,-12656,1097,9489,-2116,1231,-1253,?,?,?
69,'2024/12/09 03:08:14:742',1,-13108,1013,9227,-2505,1417,-1699,?,?,?
70,'2024/12/09 03:08:14:761',1,-13108,1013,9227,-2505,1417,-1699,?,?,?
71,'2024/12/09 03:08:14:780',1,-13673,635,9341,-5373,3160,-535,?,?,?
72,'2024/12/09 03:08:14:799',1,-13673,635,9341,-5373,3160,-535,?,?,?
73,'2024/12/09 03:08:14:816',1,-13673,635,9341,-5373,3160,-535,?,?,?
74,'2024/12/09 03:08:14:835',1,-13514,-201,9134,-5783,-8,-1440,?,?,?
75,'2024/12/09 03:08:14:853',1,-13514,-201,9134,-5783,-8,-1440,?,?,?
76,'2024/12/09 03:08:14:872',1,-13514,-201,9134,-5783,-8,-1440,?,?,?
77,'2024/12/09 03:08:14:891',1,-13514,-201,9134,-5783,-8,-1440,?,?,?
78,'2024/12/09 03:08:14:908',1,-12632,-818,11086,-5214,1064,-710,?,?,?
79,'2024/12/09 03:08:14:927',1,-12632,-818,11086,-5214,1064,-710,?,?,?
80,'2024/12/09 03:08:14:945',1,-12632,-818,11086,-5214,1064,-710,?,?,?
81,'2024/12/09 03:08:14:961',1,-13117,-1040,10959,-3664,-133,-1546,?,?,?
82,'2024/12/09 03:08:14:979',1,-13117,-1040,10959,-3664,-133,-1546,?,?,?
83,'2024/12/09 03:08:14:999',1,-13117,-1040,10959,-3664,-133,-1546,?,?,?
84,'2024/12/09 03:08:15:017',1,-13666,-982,10300,-1944,-10388,-3228,?,?,?
85,'2024/12/09 03:08:15:034',1,-13666,-982,10300,-1944,-10388,-3228,?,?,?
86,'2024/12/09 03:08:15:053',1,-13666,-982,10300,-1944,-10388,-3228,?,?,?
87,'2024/12/09 03:08:15:072',1,-16097,-2190,12641,-1056,-32766,-4506,?,?,?
88,'2024/12/09 03:08:15:089',1,-16097,-2190,12641,-1056,-32766,-4506,?,?,?
